id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric;uplifting;feel-good
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,61,2020,calm;focused;cozy
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,intense;powerful;adrenaline
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,54,2020,calm;peaceful;cozy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,intense;uplifting;powerful
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,47,2010,dreamy;calm;ethereal
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,59,2010,relaxed;cozy;warm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,66,2010,moody;dreamy;nostalgic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,calm;focused;cozy
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020,uplifting;feel-good;euphoric
11,Crown Up,Block Theory,hip-hop,confident,0.78,95,0.72,0.85,0.12,80,2020,confident;powerful;uplifting
12,Golden Hour,Velvet Soul,r&b,romantic,0.55,88,0.80,0.70,0.40,74,2010,warm;romantic;feel-good
13,Moonlight Sonata (Remix),Clara Keys,classical,peaceful,0.22,66,0.74,0.30,0.97,45,2010,peaceful;ethereal;calm
14,Dusty Roads,The Hollow Pine,country,nostalgic,0.44,102,0.67,0.56,0.83,52,2010,nostalgic;warm;melancholic
15,Pulse Drop,Circuit Anthem,edm,euphoric,0.95,140,0.85,0.92,0.03,88,2020,euphoric;uplifting;intense
16,Iron Curtain,Shred Theory,metal,angry,0.96,168,0.31,0.55,0.07,63,2010,intense;powerful;angry
17,Autumn Letters,Fern & Ash,folk,melancholic,0.33,74,0.52,0.44,0.90,49,2010,melancholic;nostalgic;calm
18,Island Ease,Reef Collective,reggae,chill,0.48,82,0.76,0.68,0.55,67,2020,feel-good;warm;relaxed
19,Crossroads Lament,Delta Blue,blues,sad,0.41,76,0.38,0.49,0.85,44,2000,melancholic;sad;nostalgic
20,Static Dreams,Waveform,electronic,energetic,0.87,128,0.63,0.80,0.08,76,2020,energetic;intense;euphoric
